subject,trial,emotion_num,emotion,speech_start_time,speech_stop_time,speech_duration,audio_wav_filepath,audio_mfcc_100ms_50ms_filepath,audio_mfcc_20ms_10ms_filepath,raw_eeg_filepath,raw_emg_filepath,processed_eeg_filepath,processed_emg_filepath,face_vgg16_features_filepath
1,1,6,fear,1.15,2.0,0.85,s01/t001/s01_t001.wav,s01/t001/s01_t001_audio_mfcc_window100ms_overlap50ms.npy,s01/t001/s01_t001_audio_mfcc_window20ms_overlap10ms.npy,s01/t001/s01_t001_raw_eeg_5kHz.npy,s01/t001/s01_t001_raw_emg_5kHz.npy,s01/t001/s01_t001_processed_eeg_1kHz.npy,s01/t001/s01_t001_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,2,2,anger,0.8,1.8,1.0,s01/t002/s01_t002.wav,s01/t002/s01_t002_audio_mfcc_window100ms_overlap50ms.npy,s01/t002/s01_t002_audio_mfcc_window20ms_overlap10ms.npy,s01/t002/s01_t002_raw_eeg_5kHz.npy,s01/t002/s01_t002_raw_emg_5kHz.npy,s01/t002/s01_t002_processed_eeg_1kHz.npy,s01/t002/s01_t002_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,3,10,sad,0.9,1.85,0.95,s01/t003/s01_t003.wav,s01/t003/s01_t003_audio_mfcc_window100ms_overlap50ms.npy,s01/t003/s01_t003_audio_mfcc_window20ms_overlap10ms.npy,s01/t003/s01_t003_raw_eeg_5kHz.npy,s01/t003/s01_t003_raw_emg_5kHz.npy,s01/t003/s01_t003_processed_eeg_1kHz.npy,s01/t003/s01_t003_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,4,8,happy,0.95,1.85,0.9,s01/t004/s01_t004.wav,s01/t004/s01_t004_audio_mfcc_window100ms_overlap50ms.npy,s01/t004/s01_t004_audio_mfcc_window20ms_overlap10ms.npy,s01/t004/s01_t004_raw_eeg_5kHz.npy,s01/t004/s01_t004_raw_emg_5kHz.npy,s01/t004/s01_t004_processed_eeg_1kHz.npy,s01/t004/s01_t004_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,5,12,surprise,0.9500000000000002,1.95,1.0,s01/t005/s01_t005.wav,s01/t005/s01_t005_audio_mfcc_window100ms_overlap50ms.npy,s01/t005/s01_t005_audio_mfcc_window20ms_overlap10ms.npy,s01/t005/s01_t005_raw_eeg_5kHz.npy,s01/t005/s01_t005_raw_emg_5kHz.npy,s01/t005/s01_t005_processed_eeg_1kHz.npy,s01/t005/s01_t005_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,6,14,neutral,0.9,1.75,0.85,s01/t006/s01_t006.wav,s01/t006/s01_t006_audio_mfcc_window100ms_overlap50ms.npy,s01/t006/s01_t006_audio_mfcc_window20ms_overlap10ms.npy,s01/t006/s01_t006_raw_eeg_5kHz.npy,s01/t006/s01_t006_raw_emg_5kHz.npy,s01/t006/s01_t006_processed_eeg_1kHz.npy,s01/t006/s01_t006_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,7,4,disgust,1.1,2.05,0.95,s01/t007/s01_t007.wav,s01/t007/s01_t007_audio_mfcc_window100ms_overlap50ms.npy,s01/t007/s01_t007_audio_mfcc_window20ms_overlap10ms.npy,s01/t007/s01_t007_raw_eeg_5kHz.npy,s01/t007/s01_t007_raw_emg_5kHz.npy,s01/t007/s01_t007_processed_eeg_1kHz.npy,s01/t007/s01_t007_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,8,8,happy,0.95,1.9,0.95,s01/t008/s01_t008.wav,s01/t008/s01_t008_audio_mfcc_window100ms_overlap50ms.npy,s01/t008/s01_t008_audio_mfcc_window20ms_overlap10ms.npy,s01/t008/s01_t008_raw_eeg_5kHz.npy,s01/t008/s01_t008_raw_emg_5kHz.npy,s01/t008/s01_t008_processed_eeg_1kHz.npy,s01/t008/s01_t008_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,9,14,neutral,0.85,1.75,0.9,s01/t009/s01_t009.wav,s01/t009/s01_t009_audio_mfcc_window100ms_overlap50ms.npy,s01/t009/s01_t009_audio_mfcc_window20ms_overlap10ms.npy,s01/t009/s01_t009_raw_eeg_5kHz.npy,s01/t009/s01_t009_raw_emg_5kHz.npy,s01/t009/s01_t009_processed_eeg_1kHz.npy,s01/t009/s01_t009_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,10,6,fear,1.15,2.0,0.85,s01/t010/s01_t010.wav,s01/t010/s01_t010_audio_mfcc_window100ms_overlap50ms.npy,s01/t010/s01_t010_audio_mfcc_window20ms_overlap10ms.npy,s01/t010/s01_t010_raw_eeg_5kHz.npy,s01/t010/s01_t010_raw_emg_5kHz.npy,s01/t010/s01_t010_processed_eeg_1kHz.npy,s01/t010/s01_t010_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,11,4,disgust,0.9,1.9,1.0,s01/t011/s01_t011.wav,s01/t011/s01_t011_audio_mfcc_window100ms_overlap50ms.npy,s01/t011/s01_t011_audio_mfcc_window20ms_overlap10ms.npy,s01/t011/s01_t011_raw_eeg_5kHz.npy,s01/t011/s01_t011_raw_emg_5kHz.npy,s01/t011/s01_t011_processed_eeg_1kHz.npy,s01/t011/s01_t011_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,s08/t350/s08_t350_face_vgg16_features.npy
1,12,10,sad,0.9,2.0,1.1,s01/t012/s01_t012.wav,s01/t012/s01_t012_audio_mfcc_window100ms_overlap50ms.npy,s01/t012/s01_t012_audio_mfcc_window20ms_overlap10ms.npy,s01/t012/s01_t012_raw_eeg_5kHz.npy,s01/t012/s01_t012_raw_emg_5kHz.npy,s01/t012/s01_t012_processed_eeg_1kHz.npy,s01/t012/s01_t012_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,13,12,surprise,1.05,2.1,1.05,s01/t013/s01_t013.wav,s01/t013/s01_t013_audio_mfcc_window100ms_overlap50ms.npy,s01/t013/s01_t013_audio_mfcc_window20ms_overlap10ms.npy,s01/t013/s01_t013_raw_eeg_5kHz.npy,s01/t013/s01_t013_raw_emg_5kHz.npy,s01/t013/s01_t013_processed_eeg_1kHz.npy,s01/t013/s01_t013_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,14,2,anger,0.95,1.95,1.0,s01/t014/s01_t014.wav,s01/t014/s01_t014_audio_mfcc_window100ms_overlap50ms.npy,s01/t014/s01_t014_audio_mfcc_window20ms_overlap10ms.npy,s01/t014/s01_t014_raw_eeg_5kHz.npy,s01/t014/s01_t014_raw_emg_5kHz.npy,s01/t014/s01_t014_processed_eeg_1kHz.npy,s01/t014/s01_t014_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,15,4,disgust,1.1,2.0,0.9,s01/t015/s01_t015.wav,s01/t015/s01_t015_audio_mfcc_window100ms_overlap50ms.npy,s01/t015/s01_t015_audio_mfcc_window20ms_overlap10ms.npy,s01/t015/s01_t015_raw_eeg_5kHz.npy,s01/t015/s01_t015_raw_emg_5kHz.npy,s01/t015/s01_t015_processed_eeg_1kHz.npy,s01/t015/s01_t015_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,16,10,sad,1.15,2.15,1.0,s01/t016/s01_t016.wav,s01/t016/s01_t016_audio_mfcc_window100ms_overlap50ms.npy,s01/t016/s01_t016_audio_mfcc_window20ms_overlap10ms.npy,s01/t016/s01_t016_raw_eeg_5kHz.npy,s01/t016/s01_t016_raw_emg_5kHz.npy,s01/t016/s01_t016_processed_eeg_1kHz.npy,s01/t016/s01_t016_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,17,12,surprise,1.05,2.0,0.95,s01/t017/s01_t017.wav,s01/t017/s01_t017_audio_mfcc_window100ms_overlap50ms.npy,s01/t017/s01_t017_audio_mfcc_window20ms_overlap10ms.npy,s01/t017/s01_t017_raw_eeg_5kHz.npy,s01/t017/s01_t017_raw_emg_5kHz.npy,s01/t017/s01_t017_processed_eeg_1kHz.npy,s01/t017/s01_t017_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,18,14,neutral,0.9,2.05,1.15,s01/t018/s01_t018.wav,s01/t018/s01_t018_audio_mfcc_window100ms_overlap50ms.npy,s01/t018/s01_t018_audio_mfcc_window20ms_overlap10ms.npy,s01/t018/s01_t018_raw_eeg_5kHz.npy,s01/t018/s01_t018_raw_emg_5kHz.npy,s01/t018/s01_t018_processed_eeg_1kHz.npy,s01/t018/s01_t018_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,19,8,happy,1.0,2.0,1.0,s01/t019/s01_t019.wav,s01/t019/s01_t019_audio_mfcc_window100ms_overlap50ms.npy,s01/t019/s01_t019_audio_mfcc_window20ms_overlap10ms.npy,s01/t019/s01_t019_raw_eeg_5kHz.npy,s01/t019/s01_t019_raw_emg_5kHz.npy,s01/t019/s01_t019_processed_eeg_1kHz.npy,s01/t019/s01_t019_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,20,6,fear,1.15,2.05,0.9,s01/t020/s01_t020.wav,s01/t020/s01_t020_audio_mfcc_window100ms_overlap50ms.npy,s01/t020/s01_t020_audio_mfcc_window20ms_overlap10ms.npy,s01/t020/s01_t020_raw_eeg_5kHz.npy,s01/t020/s01_t020_raw_emg_5kHz.npy,s01/t020/s01_t020_processed_eeg_1kHz.npy,s01/t020/s01_t020_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
1,21,2,anger,1.1,2.1,1.0,s01/t021/s01_t021.wav,s01/t021/s01_t021_audio_mfcc_window100ms_overlap50ms.npy,s01/t021/s01_t021_audio_mfcc_window20ms_overlap10ms.npy,s01/t021/s01_t021_raw_eeg_5kHz.npy,s01/t021/s01_t021_raw_emg_5kHz.npy,s01/t021/s01_t021_processed_eeg_1kHz.npy,s01/t021/s01_t021_processed_emg_5kHz_mfcc_window2000ms_overlap1000ms.npy,
